ref_date,curve,days,rate
2026-04-02,DOC,167,0.0495
2026-04-02,DOC,168,0.0496
2026-04-02,DOC,169,0.049699999999999994
2026-04-02,DOC,173,0.049400000000000006
2026-04-02,DOC,180,0.0495
2026-04-02,DOC,181,0.0496
2026-04-02,DOC,182,0.049699999999999994
2026-04-02,DOC,195,0.0496
2026-04-02,DOC,196,0.049699999999999994
2026-04-02,DOC,197,0.0499
2026-04-02,DOC,209,0.05
2026-04-02,DOC,210,0.0501
2026-04-02,DOC,211,0.050300000000000004
2026-04-02,DOC,215,0.049699999999999994
2026-04-02,DOC,228,0.049699999999999994
2026-04-02,DOC,230,0.0499
2026-04-02,DOC,231,0.05
2026-04-02,DOC,242,0.0495
2026-04-02,DOC,243,0.0496
2026-04-02,DOC,257,0.050199999999999995
2026-04-02,DOC,258,0.050300000000000004
2026-04-02,DOC,260,0.0506
2026-04-02,DOC,270,0.050300000000000004
2026-04-02,DOC,271,0.0504
2026-04-02,DOC,272,0.050499999999999996
2026-04-02,DOC,277,0.050199999999999995
2026-04-02,DOC,288,0.050300000000000004
2026-04-02,DOC,300,0.0501
2026-04-02,DOC,302,0.050199999999999995
2026-04-02,DOC,305,0.0499
2026-04-02,DOC,319,0.049699999999999994
2026-04-02,DOC,320,0.049699999999999994
2026-04-02,DOC,321,0.049800000000000004
2026-04-02,DOC,328,0.0499
2026-04-02,DOC,329,0.05
2026-04-02,DOC,330,0.0501
2026-04-02,DOC,333,0.0499
2026-04-02,DOC,347,0.05
2026-04-02,DOC,351,0.050300000000000004
2026-04-02,DOC,354,0.0501
2026-04-02,DOC,361,0.0499
2026-04-02,DOC,363,0.05
2026-04-02,DOC,364,0.0501
2026-04-02,DOC,377,0.0501
2026-04-02,DOC,379,0.050300000000000004
2026-04-02,DOC,390,0.05
2026-04-02,DOC,392,0.0501
2026-04-02,DOC,410,0.0501
2026-04-02,DOC,421,0.050199999999999995
2026-04-02,DOC,424,0.05
2026-04-02,DOC,440,0.050199999999999995
2026-04-02,DOC,452,0.050199999999999995
2026-04-02,DOC,455,0.0504
2026-04-02,DOC,469,0.050499999999999996
2026-04-02,DOC,480,0.0504
2026-04-02,DOC,487,0.0504
2026-04-02,DOC,501,0.050499999999999996
2026-04-02,DOC,503,0.0506
2026-04-02,DOC,510,0.0507
2026-04-02,DOC,531,0.0507
2026-04-02,DOC,538,0.0508
2026-04-02,DOC,540,0.0508
2026-04-02,DOC,547,0.0509
2026-04-02,DOC,559,0.0508
2026-04-02,DOC,571,0.0508
2026-04-02,DOC,578,0.0509
2026-04-02,DOC,593,0.0507
2026-04-02,DOC,600,0.0507
2026-04-02,DOC,608,0.0508
2026-04-02,DOC,622,0.051
2026-04-02,DOC,630,0.051100000000000007
2026-04-02,DOC,641,0.051100000000000007
2026-04-02,DOC,662,0.051100000000000007
